Parameters:
 Namespace(case_num=2, config_num=181, interp_scale=4, interp_method='TORCH', fixed_dnn='RCAN', model='RCAN', n_resblocks=20, n_feats=64, res_scale=1, shift_mean=True, n_resgroups=10, reduction=16, rgb_range=255, n_colors=3, print_model=False, save_models=False, chop=False, self_ensemble=False, pre_train='../Learned_RCAN_Models/RCAN_BIX4.pt', alpha=7.5, epsilon=1.0, rho=1.0, tol=1e-05, maxiter_forward=200, miniter_forward=5, maxiter_backward=100, miniter_backward=5, beta=0.9, jac_regul=False, jac_loss_weight=1.0, jac_loss_freq=0.35, jac_incremental=3500, spectral_radius_mode=False, dncnn_frozen=False, dncnn_num_layers=6, dncnn_lip=0.9, dncnn_bias=False, dncnn_bn=False, dncnn_skip=False, dncnn_weight_file='../Learned_DNCNN_Models/T91/RealSN_DnCNN/Layers_6/BN_False/sigma_0.01250_0.02500/best.pth', dncnn_lr=0.0001, sigmaL=0.0625, sigmaH=0.125, optimizer='adam', lr=0.0001, alpha_lr=0.0001, decrease_lr=True, lr_step=60, lr_gamma=0.1, clip_grad=False, clip_norm=0.01, batch_size=512, num_epochs=80, num_workers=4, datasets_dir='../Data/', train_data='T91', eval_data='Set5', last_checkpoint='', best_weight_file='../Learned_DEQSR_Models/T91/RCAN/x3/Case_2/Config_180/best.pth', output_dir='../Learned_DEQSR_Models', seed=123, use_gpu=True, verbose=True, verbose2=True)
Epoch No	LR            	Loss          	Val_Loss      	DF            	PSNR      	SSIM      	Beta      
      19	1.00000000e-04	1.60439817e-03	6.51720609e-04	1.62514442e-01	32.64059203	0.90924091	5.20222902
      20	1.00000000e-04	1.60071650e-03	6.51394128e-04	1.54323244e-01	32.64202541	0.90926817	5.20293617
      21	1.00000000e-04	1.60279405e-03	6.52405183e-04	1.59822387e-01	32.63779107	0.90920740	5.20348167
      22	1.00000000e-04	1.59655946e-03	6.51857117e-04	1.52390242e-01	32.63973084	0.90924301	5.20421219
      23	1.00000000e-04	1.60035875e-03	6.51773618e-04	1.56164894e-01	32.64034306	0.90925210	5.20508909
      24	1.00000000e-04	1.60050997e-03	6.51971804e-04	1.55921300e-01	32.63953448	0.90924880	5.20564556
      25	1.00000000e-04	1.60136217e-03	6.51829381e-04	1.55930784e-01	32.64000756	0.90924954	5.20660067
      26	1.00000000e-04	1.59892598e-03	6.51775597e-04	1.62288666e-01	32.64057767	0.90926414	5.20720530
      27	1.00000000e-04	1.60220141e-03	6.52404485e-04	1.51192325e-01	32.63756094	0.90923130	5.20811749
      28	1.00000000e-04	1.59928709e-03	6.52574288e-04	1.61359529e-01	32.63716423	0.90922256	5.20894909
      29	1.00000000e-04	1.59899356e-03	6.52419013e-04	1.62900060e-01	32.63771887	0.90922420	5.21006012
      30	1.00000000e-04	1.60877410e-03	6.52212463e-04	1.56596926e-01	32.63860453	0.90924737	5.21087551
      31	1.00000000e-04	1.60269615e-03	6.52335619e-04	1.56603591e-01	32.63798919	0.90924021	5.21175623
      32	1.00000000e-04	1.59648023e-03	6.52405113e-04	1.44248943e-01	32.63701826	0.90923154	5.21293068
      33	1.00000000e-04	1.60021533e-03	6.52715348e-04	1.54462683e-01	32.63624673	0.90921991	5.21406746
      34	1.00000000e-04	1.60158322e-03	6.52816775e-04	1.52766329e-01	32.63561616	0.90920194	5.21468306
      35	1.00000000e-04	1.59903941e-03	6.52881927e-04	1.59342286e-01	32.63579933	0.90921628	5.21598387
      36	1.00000000e-04	1.59908867e-03	6.52789458e-04	1.57900517e-01	32.63614936	0.90921855	5.21702576
      37	1.00000000e-04	1.60017045e-03	6.53379859e-04	1.48816945e-01	32.63306577	0.90917638	5.21787977
      38	1.00000000e-04	1.59488895e-03	6.53080834e-04	1.54854609e-01	32.63453282	0.90919907	5.21896648
      39	1.00000000e-04	1.59320458e-03	6.53006526e-04	1.48566496e-01	32.63466570	0.90920534	5.22011280
      40	1.00000000e-04	1.59373904e-03	6.53156132e-04	1.53787832e-01	32.63432099	0.90919620	5.22123718
      41	1.00000000e-04	1.60210591e-03	6.53265894e-04	1.61127160e-01	32.63412787	0.90920121	5.22208500
      42	1.00000000e-04	1.60581210e-03	6.53408718e-04	1.54566431e-01	32.63318494	0.90918807	5.22315550
      43	1.00000000e-04	1.60672172e-03	6.53089135e-04	1.54361455e-01	32.63460447	0.90920131	5.22411823
